site,area,Lon,Lat,X_tm35fin,Y_tm35fin
MAL016,KIL,20.705499400000004,69.0564373,249278.18919059742,7673533.680560579
MAL017,KIL,20.719359780000005,69.05723687999998,249837.74411573468,7673565.797936421
MAL018,KIL,20.73954313,69.05567281999998,250621.47887825395,7673309.919275297
MAL019,KIL,20.74965419,69.05836332,251053.598773098,7673567.484314954
MAL020,KIL,20.75642738,69.05903648,251330.20730372556,7673614.714875117
MAL021,KIL,20.63950717000001,69.05614525999998,246654.24290716733,7673772.6551731145
MAL022,KIL,20.652403929999995,69.05894282000001,247198.6248803453,7674029.910508455
MAL023,KIL,20.67382246,69.06018446,248063.32247229855,7674079.526344607
MAL024,KIL,20.676714090000004,69.06128096999998,248190.72725426566,7674189.353108065
MAL025,KIL,20.701070440000002,69.05785764999999,249118.559502533,7673709.468811972
MAL026,KIL,20.706167920000002,69.05977150999999,249342.86136698665,7673901.055408552
MAL027,KIL,20.716989110000004,69.06127353999999,249789.6780581471,7674023.56769688
MAL028,KIL,20.732208220000004,69.06261786999998,250409.25345610292,7674110.737715503
MAL029,KIL,20.743919380000005,69.06216731999999,250869.09880370452,7674013.070899907
MAL030,KIL,20.760631890000003,69.06103230999999,251519.79404970765,7673819.222442474
MAL031,KIL,20.64070375,69.060370699999993,246750.5741610142,7674236.704143519
MAL032,KIL,20.649644390000002,69.06431024999998,247150.98258304814,7674637.05217657
MAL033,KIL,20.673352360000003,69.06173316999998,248062.45854071187,7674253.363373954
MAL034,KIL,20.676953150000003,69.06172629999998,248205.33404508806,7674237.80203575
MAL035,KIL,20.691991720000004,69.06415115,248830.17559221346,7674445.248235657
MAL036,KIL,20.702626550000005,69.06331913,249242.83508251575,7674309.340741788
MAL037,KIL,20.718708559999996,69.06369487000002,249885.57879388198,7674285.329906757
MAL038,KIL,20.736378660000003,69.06548171999998,250607.42072794642,7674411.670122529
MAL039,KIL,20.74854407,69.06649126,251101.82796780486,7674474.280148446
MAL040,KIL,20.751604220000004,69.06430577999997,251198.49515283116,7674219.242367555
MAL041,KIL,20.645701920000008,69.06805996999996,247037.7764330903,7675069.520221371
MAL042,KIL,20.659617870000005,69.06944441999998,247606.02174587487,7675165.807172128
MAL043,KIL,20.67124368,69.06776885999999,248048.14096323456,7674931.983716578
MAL044,KIL,20.67561097,69.06905924999998,248236.3048702901,7675057.265777888
MAL045,KIL,20.68605721,69.06781087000002,248636.57329445827,7674875.813152834
MAL046,KIL,20.70475782,69.0687983,249390.11249930368,7674908.828295778
MAL047,KIL,20.714829460000004,69.0716286,249822.17608333254,7675181.850602702
MAL048,KIL,20.7345339,69.07176191999999,250605.6786350669,7675116.332145254
